BveTs Station List 2.00,,,,,,,,,,,,
;stationKey1, stationName1, arrivalTime1, depertureTime1, stoppageTime1, defaultTime1, signalFlag1, alightingTime1, passengers1, arrivalSoundKey1, depertureSoundKey1, doorReopen1, stuckInDoor1
sta0 ,新十津川,13:09:00,14:06:00,5,14:01:00,1,5,1,,,0,0
sta1 ,下徳富,14:12:00,,5,14:12:00,0,5,1,,,0,0
sta2 ,南下徳富,14:16:00,,5,14:16:00,0,5,1,,,0,0
sta3 ,於札内,14:19:00,,5,14:19:00,0,5,1,,,0,0
sta4 ,鶴沼,14:23:00,,5,14:23:00,0,5,1,,,0,0
sta5 ,浦臼,14:28:00,14:30:00,5,14:28:00,0,5,1,,,0,0
sta6 ,札的,14:33:00,		  ,5,14:33:00,0,5,1,,,0,0
sta7 ,晩生内,14:38:00,		  ,5,14:38:00,0,5,1,,,0,0
sta8 ,札比内,14:45:00,		  ,5,14:45:00,0,5,1,,,0,0
sta9 ,豊ヶ岡,14:50:00,		  ,5,14:50:00,0,5,1,,,0,0
sta10,石狩月形,14:57:00,15:06:00,5,14:57:00,1,5,1,,,0,0
sta11,知来乙,15:09:00,		  ,5,15:09:00,0,5,1,,,0,0
sta12,月ヶ岡,15:14:00,		  ,5,15:14:00,0,5,1,,,0,0
sta13,中小屋,15:19:00,		  ,5,15:19:00,0,5,1,,,0,0
sta14,本中小屋,15:23:00,		  ,5,15:23:00,0,5,1,,,0,0
sta15,石狩金沢,15:30:00,		  ,5,15:30:00,0,5,1,,,0,0
sta16,北海道医療大学,15:35:00,		  ,10,15:35:00,0,10,1,,,0,0
sta17,石狩当別,15:39:00,t,10,15:39:00,1,10,1,,,0,0
